"# of Use","# Terpakai"
"%1$s incl tax.","%1$s termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Item"
"%s and above","%s and above"
"Products per Page on Grid Default Value","Produk per halaman pada nilai grid standar"
"Products per Page on List Allowed Values","Produk per halaman pada daftar nilai yang diijinkan"
"Products per Page on List Default Value","Produk perhalaman pada daftar nilai standar"
"Properties","Properti"
"Qty","Kuantitas"
"Qty Increments","Kuantitas Increments"
"Qty Uses Decimals","Kuantitas Mengunakan Desimal"
"Qty for Item\'s Status to Become Out of Stock","Qty for Item\'s Status to Become Out of Stock"
"Qty:","Kuantitas:"
"Quantity","Quantity"
"Quick Create","Buat cepat"
"Quick Overview","Sinopsis"
"Quick simple product creation","Penambahan varian produk"
"Records for ""%s"" store found.","Records for ""%s"" store found."
"Redirect","Mengarahkan"
"Redirect URL","Mengarahkan URL"
"Regular Price:","Harga Regular:"
"Related Products","Produk Sejenis"
"Remove","Hapus"
"Remove Product From Websites","Hilangkan Produk dari situs"
"Remove This Item","Hapus Item ini"
"Remove attribute from attribute set","Remove attribute from attribute set"
"Remove attribute set","Remove attribute set"
"Remove custom option","Remove custom option"
"Remove group from attribute set","Remove group from attribute set"
"Remove option","Remove option"
"Remove product assignment","Hapus penugasan produk"
"Remove product image","Hapus Gambar Produk"
"Remove product link","Hapus Tautan Produk"
"Remove value from custom option","Remove value from custom option"
"Rename existing group","Rename existing group"
"Rename group","Rename group"
"Reorganize EAV category structure to flat structure","Reorganisasi struktur kategori EAV untuk struktur datar"
"Reorganize EAV product structure to flat structure","Reorganisasi struktur Produk EAV untuk struktur datar"
"Reset","Set ulang"
"Results","Hasil"
"Retrieve attribute data","mengambil data atribut"
"Retrieve attribute list","Mengambil daftar atribut"
"Retrieve attribute options","Mengambil Pilihan atribut"
"Retrieve categories tree","Mengambil Turunan Kategori"
"Retrieve category attributes","Mengambil Atribut kategori"
"Retrieve category data","Mengambil Data Kategori"
"Retrieve hierarchical tree","Mengambil Turunan Hierarki"
"Retrieve linked products","Mengambil Poduk Bertautan"
"Retrieve list of assigned products","Mengambil Daftar dari Produk yang ditandai"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Mengambil satu level dari kategori oleh situs/tampilan toko/kategori induk"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","menerima produk"
"Retrieve product attribute sets","Mengambil set atribut produk"
"Retrieve product image","Mengambil gambar produk"
"Retrieve product image list","Mengambil daftar gambar produk"
"Retrieve product image types","mengambil tipe gambar produk"
"Retrieve product link type attributes","Mengambil atribut tipe tautan produk"
"Retrieve product link types","Mengambil tipe tautan produk"
"Retrieve product tier prices","Mengambil harga kelompok produk"
"Retrieve product types","Mengambil tipe produk"
"Retrieve products data","Mengambil data Produk"
"Retrieve products list by filters","Mengambil daftar produk oleh filter"
"Reviews","Tinjauan"
"Roll Over for preview","Taruh kursor pada gambar untuk contoh tampilan"
"Root","Sumber"
"SKU","SKU"
"SKU length should be %s characters maximum.","Panjang SKU harusnya %s Maksimum karakter."
"Save","Simpan"
"Save Attribute","Simpan Atribut"
"Save Attribute Set","Simpan Set Atribut"
"Save Category","Simpan Kategori"
"Save Search","Simpan pencarian"
"Save and Continue Edit","Simpan dan lanjutkan sunting"
"Saved %d record(s)","Simpan %d record(s)"
"Scope","lingkup"
"Scope must not be changed, because the attribute is used in configurable products.","Scope tidak boleh diganti, karena atribut digunakan pada produk bervarian."
"Search","Cari"
"Search Engine Optimizations","Optimalisasi Mesin Pencarian"
"Search Information","Pencarian Informasi"
"Search Query","Query Pencarian"
"Search Term with such search query already exists.","Istilah Pencarian dengan pertanyaan pencarian sudah ada."
"Search Weight","Search Weight"
"Searchable","Dapat dicari"
"See price before order confirmation.","LIhat harga sebelum konfirmasi pesanan."
"Select Category...","Pilih Kategori..."
"Select Configurable Attributes ","Select Configurable Attributes "
"Select Product...","Pilih Produk..."
"Select type of option","Pilih tipe pilihan"
"Select type options required values rows.","Pilih opsi jenis yang dibutuhkan baris nilai."
"Selected Product Types","Pilih Tipe Produk"
"Send Count","Banyak Terkirim"
"Set Ascending Direction","Set arah secara menaik"
"Set Descending Direction","Set arah secara menurun"
"Set Name","Set Nama"
"Set Root Category for Store","Set Kategori Root untuk toko"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Set special price","Set harga khusus"
"Set/Get current store view","Set/Dapatkan tampilan toko saat ini"
"Settings","Pengaturan"
"Shop By","Belanja Oleh"
"Shopping Options","Pilih sesuai keinginan"
"Show","Tampilkan"
"Show Details","Lihat Detil"
"Show Tags","Lihat Tag"
"Simple Product","Produk Sederhana"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Skip import row, the value ""%s"" is invalid for field ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Skipping import row, required field ""%s"" for new products is not defined."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","Skipping import row, store ""%s"" field does not exist."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"Sort By","Urutkan berdasarkan"
"Sort Order","Urutan sortir"
"Source Model","Sumber Model"
"Special Expires On: %s","Kadaluarsa Khusus pada: %s"
"Special Price:","Harga khusus:"
"Special Price: %s","Harga Khusus: %s"
"Starting at:","Mulai dari:"
"Static","Statis"
"Static block and products","Blok statis dan produk"
"Static block only","Blok statis saja"
"Status","Status"
"Stock Availability","Ketersediaan Stok"
"Store","Toko"
"Store View","Tampilan toko"
"Stretch","Renggang"
"Subscribe to RSS Feed","Mendaftarkan diri ke RSS Feed"
"Super product attributes configuration","Ubah konfigurasi atribut"
"Synonym For","Sinonim Untuk"
"System Properties","Properti Sistem"
"Tag Name","Nama tag"
"Tax","Tax"
"Template","Template"
"Text","Teks"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","The attribute code \'%s\' is reserved by system. Please try another attribute code"
"The attribute model is not defined","Model atribut tidak ditentukan"
"The attribute set has been saved.","Set atribut sudah disimpan."
"The base directory to upload file is not specified.","Direktori dasar mengunggah file tidak ditentukan."
"The category has been deleted.","Kategori tersebut telah dihapus."
"The category has been saved.","Kategori tersebut telah disimpan."
"The comparison list was cleared.","Daftar perbandingan telah dihapus. "
"The file '%s' for '%s' has an invalid extension","The file '%s' for '%s' has an invalid extension"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","The file '%s' you uploaded is larger than %s Megabytes allowed by server"
"The file you uploaded is larger than %s Megabytes allowed by server","file yang Anda unggah lebih besar dari %s Megabytes yang diperbolehkan oleh Server"
"The filters must be an array.","Penyaring harus sebuah array. "
"The image contents is not valid base64 data.","Isi gambar tidak berlaku base64 data. "
"The image is not specified.","Gambar tidak ditentukan."
"The model collection resource name is not defined.","Nama sumber kolksei Model tidak didefinisikan."
"The product %s has been added to comparison list.","produk %s telah ditambahkan ke daftar perbandingan."
"The product %s has been removed from comparison list.","produk %s telah dihapus dari daftar perbandingan."
"The product attribute has been deleted.","Atribut produk sudah dihapus."
"The product attribute has been saved.","Atribut produk sudah disimpan."
"The product has been created.","Produk sudah dibuat."
"The product has been deleted.","Produk sudah dihapus."
"The product has been duplicated.","Produk sudah diduplikasi."
"The product has been saved.","Produk sudah disimpan."
"The product has required options","Produk membutuhkan pilihan"
"The review has been deleted","Tinjauan sudah dihapus"
"The review has been saved.","Tinjauan sudah disimpan."
"The review was removed by another user or does not exist.","Tinjauan sudah di hapus oleh pengguna lain atau sudah tidak ada."
"The search was deleted.","Pencarian sudah dihapus."
"The text is too long","Teks terlalu panjang"
"There are no %s available.","Tidak %s tersedia."
"There are no customers for this alert","Tidak ada pelanggan dari tanda ini"
"There are no customers for this alert.","Tidak ada pelanggan dari tanda ini."
"There are no products matching the selection.","Tidak ada produk yang cocok dari pilihan."
"There was an error while request processing.","error terjadi ketika memproses permintaan."
"This Attribute no longer exists","Atribut ini tidak ada"
"This attribute cannot be deleted.","Atribut tidak dapat dihapus."
"This attribute cannot be edited.","Atribut tidak dapat disunting."
"This attribute cannot be updated.","Atribut ini tidak dapat diperbarui."
"This attribute is used in configurable products.","Atribut ini digunakan pada produk bervarian."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Atribut ini digunakan pada produk bervarian. You cannot remove it from the attribute set."
"This attribute no longer exists","Atribut ni tidak ada"
"This attribute set no longer exists.","Set atribut ini tidak ada lagi."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"This is a required option","Ini dibutuhkan pilihan"
"This product no longer exists.","Produk ini sudah tidak ada."
"This search no longer exists.","Pencarian ini sudah tidak ada."
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Tier Pricing","Tingkat Harga"
"Tile","Kotak-Kotak"
"Time Format","Format waktu"
"Title","Judul"
"To reindex the enabled product(s), the store or product must be specified","Untuk mengindeks produk tersebut, toko atau produk harus dipilih"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later."
"Top/Left","Atas/Kiri"
"Top/Right","Atas/Kanan"
"Total Qty Base Items","Total kuantitas barang dasar"
"Total Qty Content Items","Total Qty Content Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) have been deleted.","Total dari %d record Telah dihapus."
"Total of %d record(s) have been updated.","Total of %d record telah dihapus."
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Type","Jenis"
"URL Rewrite Management","Manajemen URL Rewrite"
"Unable to complete this request.","Tidak dapat melengkapi permintaan ini."
"Unable to find a search term to delete.","Tidak dapat menemukan syarat pencarian untuk dihapus."
"Unable to find an attribute to delete.","Tidak dapat menemukan atribut untuk dihapus."
"Unable to get the product ID.","Tidak dapat mendapatkan produk ID."
"Unassigned Attributes","Atribut yang tidak ditugaskan"
"Unknown EAV indexer type ""%s"".","Unknown EAV indexer type ""%s""."
"Unknown attribute: %s.","Atribut tidak di ketahui: %s."
"Unsupported product type ""%s"".","Unsupported product type ""%s""."
"Up-sells","Up-sells"
"Update","Perbarui"
"Update Attributes","Perbarui atribut"
"Update Tier Price","perbarui kelompok harga"
"Update assigned product","perbarui produk yang ditandai"
"Update attribute","Update attribute"
"Update attributes","Perbarui Atribut"
"Update category","Perbarui kategori"
"Update custom option of product","Update custom option of product"
"Update product","Perbarui produk"
"Update product image","Perbarui gambar produk"
"Update product link","perbarui tautan produk"
"Update product tier prices","Perbarui kelompok harga produk"
"Update value of custom option","Update value of custom option"
"Upload new product image ","Upload new product image "
"Use Canonical Link Meta Tag For Categories","Penggunaan link canonical meta tag untuk kategori"
"Use Canonical Link Meta Tag For Products","Penggunaan link canonical meta tag untuk Produk"
"Use Categories Path for Product URLs","Gunakan Path kategori untuk Produk URLs"
"Use Config Settings","Gunakan setelan konfigurasi"
"Use Default Value","Gunakan nilai standar"
"Use Flat Catalog Category","Gunakan kategori katalog flat"
"Use Flat Catalog Product","Gunakan produk katalog flat"
"Use In Layered Navigation","Gunakan dalam navigasi berlapis"
"Use In Search Results Layered Navigation","Gunakan pada hasil pencarian navigasi berlapis"
"Use JavaScript Calendar","Gunakan kalender JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Gunakan URLs statis untuk Media Content pada WYSIWYG untuk katalog"
"Use To Create Configurable Product","Gunakan untuk Membuat Produk yang dapat Dikonfigurasikan"
"Use Tree Like Category Sitemap","Gunakan turunan seperti kategori Sitemap"
"Use config","Gunakan konfig"
"Use default","Gunakan standar"
"Use for Promo Rule Conditions","gunakan untuk kondisi aturan promo"
"Use four-digit year format.","Gunakan Format tahun empat digit."
"Use in Advanced Search","Gunakan dalam pencarian lanjutan"
"Use in Layered Navigation","Gunakan dalam navigasi berlapis"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gunakan dalam navigasi berlapis<br/>(hanya dapat digunakan dengan masukan katalog tipe 'Dropdown')"
"Use in Quick Search","gunakan dalam pencarian cepat"
"Used for Sorting in Product Listing","Gunakan untuk memilah dalam daftar produk"
"Used in Product Listing","gunakan dalam daftar produk"
"Value for ""%s"" is invalid.","Value for ""%s"" is invalid."
"Value for ""%s"" is invalid: %s","Value for ""%s"" is invalid: %s"
"Varchar","Varchar"
"View as","Lihat sebagai"
"Virtual Product","Produk Maya"
"Visibility","terlihat"
"Visible","Tampak"
"Visible on Catalog Pages on Front-end","Tampak pada Halam Katalog pada Halaman Depan"
"Visible on Product View Page on Front-end","Terlihat pada halaman tampilan produk ujung depan"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Tanda air"
"Watermark Default Size","Ukuran Patokan Tanda air"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark Position","Letak Stampel"
"We Also Recommend","Kami juga merekomendasikan"
"Website","Situs"
"Website Item Must be checked","Website Item Must be checked"
"Website Store Must be checked","Website Store Must be checked"
"Websites","Situs"
"What's this?","Apa ini?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Will make search for the query above return results for this search.","Will make search for the query above return results for this search."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong configuration item instance in options group.","Barang konfigurasi yang salah Contohnya di grup pilihan."
"Wrong configuration item option instance in options group.","Barang pilihan konfigurasi yang salah Contohnya di grup pilihan."
"Wrong option instance type in options group.","Pilihan yang salah Contohnya jenis di grup pilihan."
"Wrong option type to get group instance.","Jenis pilihan yang salah untuk mendapatkan contoh grup."
"Wrong product instance type in options group.","Produk yang salah contohnya jenis dari grup pilihan."
"Wrong product type filter specified","Jenis Produk yang salah filter ditentukan"
"Wrong product type to extract configurable options.","Jenis produk yang salah untuk mengambil pilihan konfigurasi."
"Year Range","Kisaran tahun"
"Yes","Ya"
"You cannot remove system attribute from this set.","Anda tidak dapat membuang atribut dari set ini"
"You have no items to compare.","Anda belum memilih produk untuk dibandingkan."
"You may also be interested in the following product(s)","Anda mungkin akan tertarik pada produk-produk ini"
"Zoom In","Perbesar"
"Zoom Out","Perkecil"
"and","dan"
"and above","and above"
"categories","Kategori"
"each","masing masing"
"ex. http://domain.com","ex. http://domain.com"
"leave blank if its not an image","tidak perlu diisi jika bukan sebuah gambar"
"per page","Per Halaman"
"products","produk"
"px.","px."
"save","simpan"
"select all","Pilih Semua"
"unselect all","Tidak memilih semua"
"x","x"
